IPs,againsts,buildLevels,commentIds,contents,createTimes,favCounts,isDels,is_anonymous,shareCounts,siteNames,sources,user_IDs,user_locations,votes
112.64.*.*,0,6,330834799,浙江人知识修养和财富加权应该是全国最高的吧。<br>广东那边好多有钱了，后代都不怎么读书。<br>浙江越有钱越重视子女教育。,2018-11-18 10:43:50,0,False,True,0,网易,ph,0,上海市浦东新区,0
157.255.*.*,0,5,330830685,从哪里得出来的数据呢？,2018-11-18 10:37:05,0,False,False,0,网易,3g,167319,广东省深圳,0
27.42.*.*,0,2,330833756,为何总是加上浙江大学？怎么不直接说她国外留学高校名字？难道加国外名字就不煽情？就好比加拿大吴亦凡？是不是叫加拿大吴亦凡就不吃香了？,2018-11-18 10:43:16,0,False,True,0,网易,ph,0,广东省珠海市,0
42.235.*.*,0,1,330833676,对年轻女人下手的恶性案件会越来越多，几千万光棍连个发泄的渠道都没有，快手关了，严打飘长，连个撸点都找不着，铤而走险就越来越多,2018-11-18 10:42:54,0,False,False,0,网易,ph,93354220,河南省洛阳,0
36.23.*.*,0,3,330835100,最后这句好神[大哭],2018-11-18 10:42:40,0,False,False,0,网易,ph,113903249,浙江省杭州市,0
1.204.*.*,0,2,330835032,都几天了还不公布作案动机,2018-11-18 10:42:22,0,False,True,0,网易,ph,0,贵州省贵阳,0
27.18.*.*,0,1,330835014,不要轻信“安全”,2018-11-18 10:42:16,0,False,False,0,网易,wb,6237261,湖北省武汉,0
39.186.*.*,0,2,330833545,碰上同性恋可不好,2018-11-18 10:42:07,0,False,True,0,网易,ph,0,浙江省温州市,0
182.239.*.*,0,3,330834418,杀人犯逃犯最后不是都成了亿万富翁吗？,2018-11-18 10:41:37,0,False,True,0,网易,ph,0,香港特别行政区,1
112.96.*.*,0,2,330821223,关键是很多流氓汉乞丐都是杀人犯逃犯装的，你说他们能不恐怖？,2018-11-18 10:21:47,0,False,True,0,网易,ph,0,广东省广州市,0
112.54.*.*,0,1,330832525,中国的夜晚也将变得越来越不安全？？？,2018-11-18 10:41:26,0,False,False,0,网易,ph,266188181,辽宁省葫芦岛市,1
112.9.*.*,0,1,330831825,跟印度差不多了都[不屑],2018-11-18 10:41:10,0,False,False,0,网易,ph,262933743,山东省青岛市,1
117.86.*.*,0,8,330832357,确实，惋惜的同时也确实要反思，既然像这种歹徒抓不完，那就学会防范，我也经常看到女的单独一人，走人烟稀少的地方，好像根本无所畏惧，我一男的一个人走着都得看看四周，并不是歧视性别，而是男女确实存在着体质差异,2018-11-18 10:40:16,0,False,True,0,网易,ph,0,江苏省南通市,0
175.170.*.*,0,1,330831584,不让出门了！一边崇尚旅行驴友，一边频频出事，如何是好。,2018-11-18 10:39:26,0,False,False,0,网易,ph,260793253,辽宁省大连市,1
202.175.*.*,0,3,330832207,你们不是老喷监控探头让你们没有隐私了吗,2018-11-18 10:39:09,0,False,True,0,网易,ph,0,澳门特别行政区,0
180.97.*.*,0,1,330832153,是情杀，警方根据百度贴吧发帖记录破的案,2018-11-18 10:38:49,0,False,False,0,网易,3g,2388187,江苏省扬州,1
180.152.*.*,0,1,330830268,灵隐寺这样的佛教圣地都出命案，真的令人不寒而栗！,2018-11-18 10:35:04,0,False,False,0,网易,ph,266207447,上海市松江区,0
59.125.*.*,0,2,330831343,灵隐寺淫秽之地,2018-11-18 10:37:21,0,False,False,0,网易,ph,396764,台湾省台中市,0
157.185.*.*,0,2,330829650,也得看情况，比如在网上说错话犯了事和故意伤害罪，就不能同等看作“有前科的人员”,2018-11-18 10:36:57,0,False,False,0,网易,ph,6913422,美国,0
122.192.*.*,0,1,330830590,一开始还以为是不小心摔下去的 没想到啊 没想到,2018-11-18 10:36:41,0,False,True,0,网易,ph,0,江苏省苏州市,1
125.38.*.*,0,1,330830582,小心,2018-11-18 10:36:39,0,False,True,0,网易,ph,0,天津市宝坻区,0
